review_id,review,cleaned_review,keywords,theme
835,Bad app . it stuck when you open and noting WORKS.,bad app stick open note work,"['note', 'open', 'bad', 'work', 'app']",['Other']
836,"the app isn't working after it asked me the password it starts loading, but it doesn't open",app isn work ask password start load doesn open,"['password', 'isn', 'start', 'load', 'ask', 'open', 'doesn', 'work', 'app']","['Account Access', 'Other']"
837,Best,well,[],[]
838,It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,keep show pop turn developer option tho turn work horrible experience need fix asap plus kinda slow,"['turn', 'pop', 'kinda', 'asap', 'horrible', 'plus', 'slow', 'option', 'developer', 'fix']","['Transaction Performance', 'Other']"
839,yideg,yideg,[],[]
840,አይከፍትም እኮ,,[],[]
841,great boa,great boa,"['boa', 'great']",['Other']
842,Best,well,[],[]
843,boa of mobile backing,boa mobile backing,"['boa', 'mobile']",['Other']
844,nice,nice,['nice'],['Other']
845,faster bank of Abissinya,fast bank abissinya,"['fast', 'bank']",['Other']
846,i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,give low possible crush bank long fix bug,"['crush', 'low', 'possible', 'bug', 'long', 'fix', 'bank']",['Other']
847,it just doesn't work...so frustrating,doesn work frustrating,"['frustrating', 'doesn', 'work']",['Other']
848,like,like,['like'],['Other']
849,it's not work correctly... you must have update it,work correctly update,"['correctly', 'update', 'work']","['Feature Requests', 'Other']"
850,"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",app get considerable improvement like language scanner unlimited transfer survice boa alot fastness convenient login make transaction,"['considerable', 'survice', 'alot', 'language', 'login', 'improvement', 'convenient', 'make', 'boa', 'transfer']","['Account Access', 'Other']"
851,after i typed in my password it says successfully logged out ...and goes back to the first page,type password say successfully log go page,"['type', 'page', 'password', 'log', 'say']","['Account Access', 'Other']"
852,good but they don't update enough don't add new things,good don update don add new thing,"['don', 'thing', 'new', 'add', 'update', 'good']","['Feature Requests', 'Other']"
853,very good,good,['good'],['Other']
854,thank you,thank,['thank'],['Other']
855,it doesn't work period z slowest mobile banking ever i would rather use *815#,doesn work period slow mobile banking use,"['period', 'slow', 'doesn', 'mobile', 'use', 'banking', 'work']","['Transaction Performance', 'Other']"
856,"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",activate application allow sign automatically turn phone,"['sign', 'activate', 'automatically', 'allow', 'turn', 'phone', 'application']",['Other']
857,good application,good application,"['application', 'good']",['Other']
858,this version is not working for me I cannot even buy card. I cannot send money,version work buy card send money,"['buy', 'card', 'version', 'send', 'money', 'work']",['Other']
859,"It can't actively on initialization, it says incorrect OTP getting the exact OTP",actively initialization say incorrect otp get exact otp,"['otp', 'initialization', 'incorrect', 'say']",['Other']
860,always problematic hardly works,problematic hardly work,"['problematic', 'hardly', 'work']",['Other']
861,considering the fact the bank is huge this app really bad you could do better,consider fact bank huge app bad well,"['consider', 'huge', 'bad', 'bank', 'app']",['Other']
862,best app,good app,"['good', 'app']",['Other']
863,very good,good,['good'],['Other']
864,"worst app and Bank ever u be ashamed, scammer",bad app bank ashamed scammer,"['ashamed', 'bad', 'bank', 'app']",['Other']
865,great BoA,great boa,"['boa', 'great']",['Other']
866,best,well,[],[]
867,i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,go bank time couldn transaction balance point have mobile banking transaction work,"['transaction', 'point', 'couldn', 'balance', 'time', 'mobile', 'banking', 'work', 'bank']","['Transaction Performance', 'Other']"
868,good,good,['good'],['Other']
869,good,good,['good'],['Other']
870,there is no speed,speed,['speed'],['Other']
871,"For anyone who wants to download it, just don't!!!",want download don,"['want', 'download', 'don']",['Other']
872,wonderful,wonderful,['wonderful'],['Other']
873,all worck,worck,['worck'],['Other']
874,Best app,good app,"['good', 'app']",['Other']
875,Loved it,love,['love'],['Other']
876,Wow,wow,['wow'],['Other']
877,"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",edit new bug app let type otp code shameful app allow use have developer option consider actual developer expect toggle option bank restart phone message lable somthe smoothen experience like security consultant thing implement app invest actual security mess,"['actual', 'security', 'option', 'developer', 'mess', 'lable', 'implement', 'edit', 'consultant', 'shameful']",['Other']
878,Improved to be the best,improve good,"['improve', 'good']",['Other']
879,BoA,boa,['boa'],['Other']
880,"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",decent problem say error transfer money infact transfer bug transfer time instead transfer money telebirr acc self boe dev fix,"['transfer', 'money', 'infact', 'decent', 'self', 'acc', 'instead', 'dev', 'say', 'telebirr']",['Other']
881,BoA Greqt Ethiopian bank.,boa greqt ethiopian bank,"['greqt', 'ethiopian', 'boa', 'bank']",['Other']
882,"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",bug app crash time try log especially old phone like galaxy,"['galaxy', 'especially', 'old', 'log', 'bug', 'crash', 'phone', 'try', 'time', 'like']","['App Reliability', 'Other']"
883,Almost better compared to cbe where it is not qualified for,well compare cbe qualified,"['qualified', 'compare', 'cbe']",['Other']
884,what awesome apps. it is very simple to use and more much important apps.,awesome app simple use important app,"['important', 'awesome', 'simple', 'app', 'use']",['Other']
885,Wonderfull app,wonderfull app,"['wonderfull', 'app']",['Other']
886,i can't use this app why?,use app,"['use', 'app']",['Other']
887,Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,bad mobile banking app experience blame app compare well clash take long time login load short complete trash,"['clash', 'short', 'complete', 'compare', 'login', 'load', 'long', 'bad', 'experience', 'time']","['Account Access', 'Other']"
888,Wow,wow,['wow'],['Other']
889,bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,bro bad app human kind software engineer sad see enterprise big boa app like disgrace country,"['human', 'disgrace', 'sad', 'country', 'software', 'kind', 'big', 'boa', 'bad', 'app']",['Other']
890,AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,aga girja miss language admin afaan oromo itoophiyaa language,"['language', 'itoophiyaa', 'girja', 'admin', 'oromo', 'miss']",['Other']
891,Good app,good app,"['good', 'app']",['Other']
892,"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",download app time read customer review soon instal open app close automatically unserious bank uninstalle app immediately,"['instal', 'immediately', 'read', 'review', 'automatically', 'soon', 'app', 'close', 'download', 'open']",['Other']
893,It has good features but sometimes it doesn't work...0,good feature doesn work,"['doesn', 'feature', 'work', 'good']","['Feature Requests', 'Other']"
894,Very poor proformance,poor proformance,"['proformance', 'poor']",['Other']
895,It's not opening. Really frustrating,open frustrating,"['frustrating', 'open']",['Other']
896,Verry Amazing App from all IB,verry amazing app,"['verry', 'amazing', 'app']",['Other']
897,Not working on this days,work day,"['day', 'work']",['Other']
